,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
1193,MHN Walker (Aus),1974-1981,17,11,3,79,20,9.87,170,46.47,0,0,1
1194,Waqas Barkat (HK),2014-2016,7,7,1,79,27,13.16,147,53.74,0,0,2
1195,AC Dale (Aus),1997-2000,30,12,8,78,15*,19.50,136,57.35,0,0,1
1196,MF Kent (Aus),1981-1981,5,5,1,78,33,19.50,133,58.64,0,0,0
1197,MW Rushmere (SA),1992-1992,4,4,0,78,35,19.50,174,44.82,0,0,0
1198,MH Tissera (SL),1975-1975,3,3,0,78,52,26.00,147,53.06,0,1,0
1199,BN Cooper (Neth),2013-2014,4,2,0,77,74,38.50,61,126.22,0,1,0
1200,Imad Wasim (Pak),2015-2016,6,3,0,77,61,25.66,82,93.90,0,1,0
1201,TL Best (WI),2004-2014,26,16,8,76,24,9.50,125,60.80,0,0,1
1202,BB Chari (Zim),2015-2015,4,4,0,76,39,19.00,164,46.34,0,0,0
1203,Yasir Shah (Pak),2011-2015,15,7,2,76,32*,15.20,81,93.82,0,0,1
1204,AP Sheahan (Aus),1972-1972,3,3,0,75,50,25.00,124,60.48,0,1,0
1205,KDK Vithanage (SL),2013-2014,6,6,1,75,27,15.00,90,83.33,0,0,0
1206,NG Jones (Ire),2010-2011,14,9,4,74,25*,14.80,102,72.54,0,0,0
1207,MS Kasprowicz (Aus),1995-2005,43,13,9,74,28*,18.50,89,83.14,0,0,2
1208,MM Patel (India),2006-2011,70,27,16,74,15,6.72,112,66.07,0,0,4
1209,Yasir Arafat (Pak),2000-2009,11,8,3,74,27,14.80,110,67.27,0,0,0
1210,FH Edwards (WI),2003-2009,50,22,14,73,13,9.12,160,45.62,0,0,2
1211,CK Langeveldt (SA),2001-2010,72,21,10,73,12,6.63,124,58.87,0,0,1
1212,EB McSweeney (NZ),1986-1987,16,14,5,73,18*,8.11,119,61.34,0,0,2
1213,GR Sealy (Can),1979-1979,3,3,0,73,45,24.33,149,48.99,0,0,0
1214,CS Serjeant (Aus),1977-1978,3,3,0,73,46,24.33,158,46.20,0,0,0
1215,R Telemachus (SA),1998-2006,37,15,3,73,29,6.08,94,77.65,0,0,2
1216,AL Wadekar (India),1974-1974,2,2,0,73,67,36.50,90,81.11,0,1,0
1217,G Blakeney (Ber),2009-2009,2,2,0,72,42,36.00,69,104.34,0,0,0
1218,AC Evans (Scot),2009-2016,13,8,4,72,28,18.00,102,70.58,0,0,0
1219,TG Hogan (Aus),1983-1984,16,12,4,72,27,9.00,95,75.78,0,0,1
1220,BA Murphy (Zim),2000-2003,31,17,8,72,20*,8.00,130,55.38,0,0,1
1221,OL Pitcher (Ber),2007-2007,5,5,0,72,30,14.40,217,33.17,0,0,1
1222,I Sharma (India),2007-2016,80,28,13,72,13,4.80,203,35.46,0,0,5
1223,S Viswanath (India),1985-1988,22,12,4,72,23*,9.00,139,51.79,0,0,0
1224,CJ Adams (Eng),1998-2000,5,4,0,71,42,17.75,144,49.30,0,0,0
1225,DI Allan (Kenya),2011-2013,5,5,0,71,27,14.20,153,46.40,0,0,0
1226,CR Brathwaite (WI),2011-2015,7,7,0,71,18,10.14,85,83.52,0,0,0
1227,KJ Abbott (SA),2013-2016,24,10,4,70,23,11.66,111,63.06,0,0,0
1228,KED Carroll (Ire),2007-2007,6,6,0,70,28,11.66,126,55.55,0,0,1
1229,SR Gillespie (NZ),1986-1988,19,11,5,70,18*,11.66,106,66.03,0,0,1
1230,Shuvagata Hom (Ban),2011-2011,4,3,1,70,35*,35.00,86,81.39,0,0,0
1231,MJ Smith (Eng),1973-1974,5,5,0,70,31,14.00,159,44.02,0,0,1
1232,RD Steede (Ber),2006-2008,8,7,1,70,20,11.66,142,49.29,0,0,0
1233,Ashraf Ali (Pak),1980-1985,16,9,5,69,19*,17.25,135,51.11,0,0,1
1234,SR Clark (Aus),2005-2009,39,12,7,69,16*,13.80,88,78.40,0,0,1
1235,AC Dawson (SA),1998-2004,19,7,4,69,23*,23.00,67,102.98,0,0,0
1236,Y Goonasekera (SL),1983-1983,3,3,0,69,35,23.00,104,66.34,0,0,0
1237,FS Crockwell (Ber),2009-2009,2,2,0,68,45,34.00,104,65.38,0,0,0
1238,TGJ Gruijters (Neth),2010-2013,5,4,1,68,32,22.66,116,58.62,0,0,0
1239,OJ Hairs (Scot),2010-2010,5,5,0,68,27,13.60,100,68.00,0,0,0
1240,RK Illingworth (Eng),1991-1996,25,11,5,68,14,11.33,119,57.14,0,0,0
1241,SO Ngoche (Kenya),2010-2014,14,12,3,68,28,7.55,119,57.14,0,0,4
1242,M Sheikh (Kenya),1997-2000,21,15,5,68,15*,6.80,123,55.28,0,0,2
1243,SJ Cook (SA),1991-1993,4,4,0,67,35,16.75,118,56.77,0,0,1
1244,SG Davies (Zim),1996-1996,4,4,0,67,45,16.75,173,38.72,0,0,0
1245,Junaid Siddiqui (Can),2011-2014,9,8,3,67,25,13.40,144,46.52,0,0,1
1246,HJC Mol (Neth),2002-2008,11,9,1,67,23,8.37,183,36.61,0,0,2
1247,V Pollard (NZ),1973-1974,3,2,0,67,55,33.50,145,46.20,0,1,0
1248,PR Adams (SA),1996-2003,24,9,5,66,33*,16.50,124,53.22,0,0,2
1249,Akhtar Sarfraz (Pak),1997-1998,4,4,0,66,25,16.50,99,66.66,0,0,0
1250,RJ Bright (Aus),1974-1986,11,8,4,66,19*,16.50,122,54.09,0,0,1
1251,SS Pathirana (SL),2015-2015,3,3,0,66,33,22.00,72,91.66,0,0,0
1252,AM Phangiso (SA),2013-2015,16,10,2,66,20,8.25,104,63.46,0,0,3
1253,OO Bascome (Ber),2008-2008,6,6,0,65,20,10.83,145,44.82,0,0,0
1254,KCG Benjamin (WI),1992-1996,26,13,7,65,17,10.83,80,81.25,0,0,1
1255,RD King (WI),1998-2005,50,23,14,65,12*,7.22,203,32.01,0,0,5
1256,RG Petrie (NZ),1990-1991,12,8,3,65,21,13.00,109,59.63,0,0,1
1257,Saeed Azad (Pak),1995-1996,4,4,0,65,31,16.25,131,49.61,0,0,0
1258,VA Holder (WI),1973-1978,12,6,1,64,30,12.80,85,75.29,0,0,1
1259,H Osinde (Can),2006-2013,42,28,13,64,21*,4.26,130,49.23,0,0,7
1260,KF Semple (WI),1999-1999,7,6,0,64,23,10.66,165,38.78,0,0,0
1261,Aamer Yamin (Pak),2015-2015,3,2,1,63,62,63.00,69,91.30,0,1,0
1262,RO Hussain (Scot),2006-2010,8,8,1,63,17,9.00,143,44.05,0,0,0
1263,PD McGlashan (NZ),2009-2009,4,2,1,63,56*,63.00,51,123.52,0,1,0
1264,MQ Sheikh (Scot),2008-2010,7,7,1,63,23,10.50,140,45.00,0,0,0
1265,BV Vitori (Zim),2011-2015,19,10,3,63,20*,9.00,69,91.30,0,0,3
1266,Adnan Akmal (Pak),2011-2012,5,4,1,62,27,20.66,89,69.66,0,0,0
1267,SD Anurasiri (SL),1986-1994,45,18,12,62,11,10.33,143,43.35,0,0,2
1268,PG Coman (NZ),1973-1974,3,3,0,62,38,20.66,104,59.61,0,0,1
1269,CE Cuffy (WI),1994-2002,41,22,8,62,17*,4.42,125,49.60,0,0,5
1270,Shaheedur Rahman (Ban),1986-1986,2,2,0,62,37,31.00,108,57.40,0,0,0
1271,CJA Amini (PNG),2014-2014,2,2,1,61,61*,61.00,68,89.70,0,1,1
1272,Azhar Saeed (UAE),1994-1996,7,7,0,61,32,8.71,195,31.28,0,0,1
1273,Dolar Mahmud (Ban),2008-2009,7,4,0,61,41,15.25,44,138.63,0,0,2
1274,MN Hart (NZ),1994-2002,13,8,0,61,16,7.62,101,60.39,0,0,1
1275,JD Love (Eng),1981-1981,3,3,0,61,43,20.33,100,61.00,0,0,0
1276,EO Odumbe (Kenya),1996-1996,8,7,1,61,20,10.16,150,40.66,0,0,0
1277,DR Parry (WI),1978-1980,6,5,1,61,32,15.25,77,79.22,0,0,0
1278,Shakeel Ahmed jnr (Pak),1995-1995,2,2,0,61,36,30.50,128,47.65,0,0,0
1279,ELR Stewart (SA),1993-2002,6,6,2,61,23*,15.25,116,52.58,0,0,0
1280,DS Wesonga (Kenya),2010-2011,4,4,1,61,33,20.33,108,56.48,0,0,0
1281,RM West (Ire),2008-2009,10,4,2,61,29*,30.50,41,148.78,0,0,1
1282,GE Bradburn (NZ),1990-2001,11,10,3,60,30,8.57,130,46.15,0,0,1
1283,JJ Celestine (Ber),2007-2008,8,8,0,60,20,7.50,135,44.44,0,0,1
1284,ST Clarke (WI),1978-1982,10,8,2,60,20,10.00,58,103.44,0,0,1
1285,NM Coulter-Nile (Aus),2013-2015,13,8,4,60,16,15.00,82,73.17,0,0,0
1286,Humayun Farhat (Pak),2001-2001,5,3,0,60,39,20.00,56,107.14,0,0,0
1287,JA Jameson (Eng),1973-1975,3,3,0,60,28,20.00,158,37.97,0,0,0
1288,Junaid Khan (Pak),2011-2015,52,23,11,60,25,5.00,108,55.55,0,0,5
1289,NC McGarrell (WI),1998-2001,17,10,2,60,19,7.50,98,61.22,0,0,2
1290,Abdul Jabbar (Can),2007-2007,2,2,0,59,44,29.50,82,71.95,0,0,0
1291,WD Balaji Rao (Can),2008-2011,10,8,0,59,24,7.37,89,66.29,0,0,0
1292,DAJ Bracewell (NZ),2011-2016,13,7,1,59,30,9.83,87,67.81,0,0,1
1293,Gazi Ashraf (Ban),1986-1990,7,7,0,59,18,8.42,239,24.68,0,0,1
1294,MBS Jonkman (Neth),2006-2010,16,9,4,59,16,11.80,79,74.68,0,0,1
1295,MA Parker (Scot),2010-2010,10,8,2,59,22,9.83,104,56.73,0,0,0
1296,Rohan Mustafa (UAE),2014-2015,7,7,0,59,28,8.42,122,48.36,0,0,1
1297,TA Boult (NZ),2012-2016,32,12,8,58,21*,14.50,72,80.55,0,0,0
1298,RO Butcher (Eng),1980-1981,3,3,0,58,52,19.33,68,85.29,0,1,0
1299,TMK Mawoyo (Zim),2006-2014,7,7,0,58,15,8.28,160,36.25,0,0,1
1300,D Murphy (Scot),2013-2013,8,7,2,58,20*,11.60,118,49.15,0,0,0
1301,KD Shah (HK),2014-2016,4,4,1,58,34*,19.33,88,65.90,0,0,1
1302,Shapoor Zadran (Afg),2009-2015,37,23,15,58,17,7.25,120,48.33,0,0,3
1303,M van Schoor (Nam),2003-2003,5,5,1,58,24,14.50,111,52.25,0,0,0
1304,BM Wheeler (NZ),2015-2015,6,4,4,58,39*,-,47,123.40,0,0,0
1305,DJ Willey (Eng),2015-2016,13,7,3,58,13*,14.50,65,89.23,0,0,1
1306,B Yardley (Aus),1978-1983,7,4,0,58,28,14.50,98,59.18,0,0,1
1307,KD Boyce (WI),1973-1975,8,4,0,57,34,14.25,77,74.02,0,0,0
1308,Ehsanul Haque (Ban),2002-2003,6,6,0,57,20,9.50,129,44.18,0,0,1
1309,Frasat Ali (EAf),1975-1975,3,3,0,57,45,19.00,176,32.38,0,0,1
1310,N Madziva (Zim),2014-2016,11,11,2,57,25,6.33,112,50.89,0,0,2
1311,G Salmond (Scot),1999-1999,5,5,0,57,31,11.40,109,52.29,0,0,0
1312,RS Haire (Ire),2008-2008,2,2,0,56,54,28.00,72,77.77,0,1,0
1313,JK Lever (Eng),1976-1982,22,11,4,56,27*,8.00,152,36.84,0,0,1
1314,NM Odhiambo (Kenya),2010-2013,8,6,0,56,29,9.33,121,46.28,0,0,0
1315,Sohail Fazal (Pak),1989-1989,2,2,0,56,32,28.00,59,94.91,0,0,0
1316,LL Tsotsobe (SA),2009-2013,61,21,13,56,16*,7.00,109,51.37,0,0,3
1317,MW Douglas (NZ),1994-1995,6,6,0,55,30,9.16,123,44.71,0,0,1
1318,TV Mufambisi (Zim),2006-2007,6,6,0,55,21,9.16,90,61.11,0,0,0
1319,SJ Palframan (SA),1996-1996,7,4,0,55,28,13.75,80,68.75,0,0,0
1320,EC Rainsford (Zim),2004-2010,39,23,13,55,9*,5.50,134,41.04,0,0,2
1321,SK Ranasinghe (SL),1986-1986,4,3,0,55,41,18.33,81,67.90,0,0,1
1322,Arshad Ali (UAE),2004-2008,4,4,0,54,41,13.50,102,52.94,0,0,1
1323,RJ Campbell (Aus),2002-2002,2,2,0,54,38,27.00,70,77.14,0,0,0
1324,RD Jackman (Eng),1974-1983,15,9,1,54,14,6.75,93,58.06,0,0,1
1325,RWT Key (Eng),2003-2004,5,5,0,54,19,10.80,135,40.00,0,0,1
1326,BJ McKechnie (NZ),1975-1981,14,8,4,54,27,13.50,145,37.24,0,0,1
1327,Mohammad Iqbal (Can),2007-2008,5,5,0,54,30,10.80,80,67.50,0,0,1
1328,JV Paranjpe (India),1998-1998,4,4,1,54,27,18.00,91,59.34,0,0,0
1329,RG Samuels (WI),1996-1997,8,5,2,54,36*,18.00,63,85.71,0,0,0
1330,RK Sethi (EAf),1975-1975,3,3,0,54,30,18.00,185,29.18,0,0,0
1331,S Venkataraghavan (India),1974-1983,15,9,4,54,26*,10.80,126,42.85,0,0,2
1332,BCJ Cutting (Aus),2013-2014,4,2,0,53,27,26.50,67,79.10,0,0,0
1333,Ghulam Ali (Pak),1993-1995,3,3,0,53,38,17.66,121,43.80,0,0,0
1334,Mafizur Rahman (Ban),1997-1997,4,4,1,53,16,17.66,104,50.96,0,0,0
1335,Manjural Islam (Ban),1999-2003,34,22,13,53,13,5.88,134,39.55,0,0,4
1336,Mohammad Sharif (Ban),2001-2007,9,9,5,53,13*,13.25,102,51.96,0,0,1
1337,RAP Nissanka (SL),2001-2003,23,13,5,53,11,6.62,140,37.85,0,0,2
1338,DL Underwood (Eng),1973-1982,26,13,4,53,17,5.88,133,39.84,0,0,2
1339,AJ Woodcock (Aus),1974-1974,1,1,0,53,53,53.00,67,79.10,0,1,0
1340,JE Brinkley (Scot),1999-1999,5,5,0,52,23,10.40,118,44.06,0,0,1
1341,TK Canning (NZ),2003-2005,4,4,1,52,23*,17.33,73,71.23,0,0,1
1342,KM Jarvis (Zim),2009-2013,24,15,5,52,13,5.20,128,40.62,0,0,2
1343,UT Yadav (India),2010-2016,57,19,12,52,17,7.42,94,55.31,0,0,2
1344,CS Cowdrey (Eng),1985-1985,3,3,1,51,46*,25.50,46,110.86,0,0,1
1345,D Dasgupta (India),2001-2001,5,4,1,51,24*,17.00,82,62.19,0,0,1
1346,AH Gray (WI),1985-1991,25,11,5,51,10*,8.50,77,66.23,0,0,1
1347,A Mithun (India),2010-2011,5,3,0,51,24,17.00,55,92.72,0,0,0
1348,CA Pujara (India),2013-2014,5,5,0,51,27,10.20,130,39.23,0,0,2
1349,BS Sandhu (India),1982-1984,22,7,3,51,16*,12.75,97,52.57,0,0,2
1350,DE Bollinger (Aus),2009-2011,39,8,2,50,30,8.33,54,92.59,0,0,1
1351,NE Clarke (Neth),1996-1996,5,5,0,50,32,10.00,112,44.64,0,0,2
1352,JG Heron (Zim),1983-1983,6,6,0,50,18,8.33,163,30.67,0,0,1
1353,PA Horne (NZ),1987-1987,4,4,0,50,18,12.50,122,40.98,0,0,1
1354,J Lewis (Eng),2005-2007,13,8,2,50,17,8.33,63,79.36,0,0,0
1355,K Rabada (SA),2015-2016,14,7,3,50,19*,12.50,73,68.49,0,0,1
1356,IM Stanger (Scot),1999-2006,5,5,0,50,27,10.00,150,33.33,0,0,0
1357,CT Tremlett (Eng),2005-2011,15,11,4,50,19*,7.14,89,56.17,0,0,1
1358,Zeeshan Siddiqi (Can),2012-2014,2,2,0,50,43,25.00,111,45.04,0,0,0
1359,ST Banerjee (India),1991-1992,6,5,3,49,25*,24.50,42,116.66,0,0,0
1360,DB Close (Eng),1972-1972,3,3,0,49,43,16.33,50,98.00,0,0,0
1361,WW Daniel (WI),1978-1984,18,5,4,49,16*,49.00,56,87.50,0,0,0
1362,DJ Gandhi (India),1999-2000,3,3,0,49,30,16.33,97,50.51,0,0,0
1363,CK Hooper (Can),2007-2010,5,5,2,49,27,16.33,60,81.66,0,0,1
1364,Maninder Singh (India),1983-1993,59,18,14,49,8*,12.25,90,54.44,0,0,1
1365,E Otieno (Kenya),2007-2014,26,17,7,49,11,4.90,136,36.02,0,0,5
1366,D Ranatunga (SL),1990-1990,4,4,0,49,25,12.25,156,31.41,0,0,1
1367,BA Reid (Aus),1986-1992,61,21,8,49,10,3.76,117,41.88,0,0,1
1368,GK Robertson (NZ),1981-1989,10,6,0,49,17,8.16,48,102.08,0,0,1
1369,MMC Schewe (Neth),1996-1996,5,4,1,49,20,16.33,68,72.05,0,0,0
1370,SS Tiwary (India),2010-2010,3,2,2,49,37*,-,56,87.50,0,0,0
1371,KEA Upashantha (SL),1995-2001,12,8,1,49,15,7.00,86,56.97,0,0,0
1372,Arafat Sunny (Ban),2014-2015,16,11,7,48,15,12.00,92,52.17,0,0,1
1373,GG Arnold (Eng),1972-1975,14,6,3,48,18*,16.00,75,64.00,0,0,1
1374,JH Hampshire (Eng),1971-1972,3,3,1,48,25*,24.00,86,55.81,0,0,0
1375,RJ Harris (Aus),2009-2012,21,13,7,48,21,8.00,48,100.00,0,0,0
1376,Mohammad Irfan (Pak),2010-2016,59,33,21,48,12,4.00,149,32.21,0,0,8
1377,MW Pringle (SA),1992-1994,17,8,3,48,13*,9.60,56,85.71,0,0,1
1378,PC Strydom (SA),2000-2000,10,8,3,48,34,9.60,94,51.06,0,0,1
1379,MG Vandort (SL),2006-2006,1,1,0,48,48,48.00,117,41.02,0,0,0
1380,JJ Whitaker (Eng),1987-1987,2,2,1,48,44*,48.00,65,73.84,0,0,0
1381,Zafar Iqbal (Pak),1995-1995,8,6,0,48,18,8.00,62,77.41,0,0,1
1382,Zulqarnain Haider (Pak),2010-2010,4,4,2,48,19*,24.00,68,70.58,0,0,0
1383,Ahmed Raza (UAE),2014-2015,6,6,1,47,17,9.40,76,61.84,0,0,2
1384,A Codrington (Can),2003-2007,9,8,0,47,16,5.87,92,51.08,0,0,2
1385,FA Dennis (Can),1979-1979,3,3,0,47,25,15.66,171,27.48,0,0,0
1386,ER Fernando (SL),1975-1975,3,3,0,47,22,15.66,66,71.21,0,0,0
1387,Sarandeep Singh (India),2002-2003,5,4,1,47,19,15.66,73,64.38,0,0,0
1388,BGK Walker (NZ),2000-2002,11,7,4,47,16*,15.66,79,59.49,0,0,0
1389,Jawahir Shah (EAf),1975-1975,3,3,0,46,37,15.33,114,40.35,0,0,0
1390,AR McBrine (Ire),2014-2015,10,4,3,46,23*,46.00,48,95.83,0,0,0
1391,J Nyumbu (Zim),2014-2015,19,14,4,46,18,4.60,89,51.68,0,0,3
1392,PP Ojha (India),2008-2012,18,10,8,46,16*,23.00,112,41.07,0,0,0
1393,IR Redpath (Aus),1971-1975,5,5,0,46,24,9.20,67,68.65,0,0,1
1394,Skhawat Ali (HK),2008-2014,4,4,0,46,28,11.50,109,42.20,0,0,1
1395,Azeem Hafeez (Pak),1983-1985,15,10,7,45,15,15.00,104,43.26,0,0,1
1396,M Karg (Nam),2003-2003,3,2,0,45,41,22.50,65,69.23,0,0,0
1397,DA Murray (WI),1973-1981,10,7,2,45,35,9.00,140,32.14,0,0,1
1398,GR Robertson (Aus),1994-1998,13,7,4,45,15,15.00,55,81.81,0,0,0
1399,Sami Aslam (Pak),2015-2015,1,1,0,45,45,45.00,50,90.00,0,0,0
1400,S Thuraisingam (Can),2003-2008,10,9,2,45,13,6.42,108,41.66,0,0,1
1401,PJ Wiseman (NZ),1998-2003,15,7,5,45,16,22.50,83,54.21,0,0,0
1402,Abdul Shakoor (UAE),2015-2015,2,2,0,44,24,22.00,79,55.69,0,0,0
1403,VR Brown (NZ),1988-1988,3,3,0,44,32,14.66,85,51.76,0,0,0
1404,NA de Groot (Can),2003-2003,6,6,0,44,17,7.33,127,34.64,0,0,3
1405,Golam Faruq (Ban),1986-1990,5,4,2,44,23*,22.00,104,42.30,0,0,0
1406,AV Mankad (India),1974-1974,1,1,0,44,44,44.00,61,72.13,0,0,0
1407,RD McCann (Ire),2010-2010,8,5,1,44,18,11.00,77,57.14,0,0,1
1408,BP Patterson (WI),1986-1993,59,20,15,44,13*,8.80,101,43.56,0,0,1
1409,MDK Perera (SL),2007-2014,5,4,0,44,30,11.00,77,57.14,0,0,0
1410,RH Poonawala (UAE),1994-1994,2,2,0,44,22,22.00,56,78.57,0,0,0
1411,S Sreesanth (India),2005-2011,53,21,10,44,10*,4.00,121,36.36,0,0,3
1412,JH Stander (Scot),2009-2012,5,5,1,44,22*,11.00,75,58.66,0,0,1
1413,HR Bryan (WI),1999-1999,15,8,2,43,11,7.16,71,60.56,0,0,1
1414,Faisal Hossain (Ban),2004-2010,6,5,1,43,17,10.75,91,47.25,0,0,1
1415,Fayyaz Ahmed (UAE),2014-2014,2,2,1,43,37*,43.00,85,50.58,0,0,0
1416,KHRK Fernando (SL),2002-2006,7,5,3,43,23*,21.50,72,59.72,0,0,0
1417,AR Kapoor (India),1995-2000,17,6,0,43,19,7.16,63,68.25,0,0,3
1418,Salman Faris (UAE),2014-2014,3,3,0,43,27,14.33,79,54.43,0,0,1
1419,WN Slack (Eng),1986-1986,2,2,0,43,34,21.50,85,50.58,0,0,0
1420,GB Stevenson (Eng),1980-1981,4,4,3,43,28*,43.00,56,76.78,0,0,0
1421,SJ Swanepoel (Nam),2003-2003,5,5,0,43,23,8.60,94,45.74,0,0,0
1422,Anwar Hossain (Ban),2002-2002,1,1,0,42,42,42.00,107,39.25,0,0,0
1423,Azmat Rana (Pak),1978-1978,2,2,1,42,22*,42.00,73,57.53,0,0,0
1424,MJ Fourie (Ire),2007-2008,7,5,3,42,19*,21.00,51,82.35,0,0,0
1425,GJ Gilmour (Aus),1974-1975,5,2,1,42,28*,42.00,39,107.69,0,0,0
1426,JN Maguire (Aus),1983-1984,23,11,5,42,14*,7.00,71,59.15,0,0,1
1427,JL Pattinson (Aus),2011-2015,15,8,4,42,13,10.50,80,52.50,0,0,0
1428,MH Richardson (NZ),2002-2002,4,4,0,42,26,10.50,97,43.29,0,0,1
1429,JS Foster (Eng),2001-2002,11,6,3,41,13,13.66,71,57.74,0,0,0
1430,SP Heaney (Can),2006-2006,4,4,0,41,19,10.25,92,44.56,0,0,0
1431,PA Hitchcock (NZ),2002-2008,14,7,3,41,11*,10.25,61,67.21,0,0,1
1432,Mehmood Quaraishy (EAf),1975-1975,3,3,1,41,19,20.50,154,26.62,0,0,0
1433,WP Saha (India),2010-2014,9,5,2,41,16,13.66,56,73.21,0,0,0
1434,Shafiq Ahmed (Pak),1977-1978,3,3,0,41,29,13.66,91,45.05,0,0,0
1435,SR Welsh (Can),2006-2008,3,3,1,41,32,20.50,78,52.56,0,0,0
1436,GH Worker (NZ),2015-2015,2,2,1,41,21,41.00,63,65.07,0,0,0
1437,J Anderson (Ire),2014-2014,3,3,0,40,19,13.33,91,43.95,0,0,0
1438,Bilal Asif (Pak),2015-2015,3,3,0,40,38,13.33,49,81.63,0,0,1
1439,PC Connell (Ire),2008-2010,13,5,3,40,22*,20.00,73,54.79,0,0,1
1440,DR Hadlee (NZ),1973-1976,11,7,2,40,20,8.00,85,47.05,0,0,3
1441,Khaliq Dad (Afg),2009-2010,6,4,1,40,20,13.33,69,57.97,0,0,1
1442,CB Mpofu (Zim),2004-2015,68,35,19,40,6,2.50,177,22.59,0,0,6
1443,ML Patel (Kenya),2004-2006,3,3,0,40,25,13.33,95,42.10,0,0,1
1444,WB Rankin (Eng/Ire),2007-2014,44,18,12,40,7*,6.66,110,36.36,0,0,2
1445,SJ Rixon (Aus),1978-1985,6,6,3,40,20*,13.33,98,40.81,0,0,1
1446,MR Whitney (Aus),1983-1993,38,13,7,40,9*,6.66,90,44.44,0,0,1
1447,GA Briant (Zim),1993-1993,5,5,2,39,16,13.00,69,56.52,0,0,1
1448,SS Das (India),2001-2002,4,4,1,39,30,13.00,77,50.64,0,0,0
1449,KSC de Silva (SL),1996-2000,38,19,13,39,13*,6.50,92,42.39,0,0,4
1450,DR Gilbert (Aus),1986-1986,14,8,3,39,8,7.80,102,38.23,0,0,0
1451,Iqbal Qasim (Pak),1977-1988,15,7,1,39,13,6.50,90,43.33,0,0,2
1452,N Kruger (Neth),2011-2011,2,2,0,39,34,19.50,75,52.00,0,0,0
1453,GD Lloyd (Eng),1996-1998,6,5,1,39,22,9.75,80,48.75,0,0,2
1454,TBA May (Aus),1987-1995,47,12,8,39,15,9.75,52,75.00,0,0,0
1455,LS Pascoe (Aus),1977-1982,29,11,7,39,15*,9.75,102,38.23,0,0,2
1456,Ramveer Rai (UAE),2004-2004,1,1,0,39,39,39.00,124,31.45,0,0,0
1457,RH Scholte (Neth),2002-2003,5,5,0,39,12,7.80,135,28.88,0,0,0
1458,A Shahzad (Eng),2010-2011,11,8,2,39,9,6.50,60,65.00,0,0,0
1459,RE van der Merwe (SA),2009-2010,13,7,3,39,12,9.75,41,95.12,0,0,1
1460,Zulfiqar Ali (EAf),1975-1975,3,3,1,39,30,19.50,76,51.31,0,0,0
1461,CJD Chappell (Can),1979-1979,3,3,0,38,19,12.66,143,26.57,0,0,0
1462,PP Chawla (India),2007-2011,25,12,5,38,13*,5.42,58,65.51,0,0,1
1463,CKB Kulasekara (SL),2011-2012,4,3,0,38,19,12.66,72,52.77,0,0,1
1464,PJ Martin (Eng),1995-1998,20,13,7,38,6,6.33,53,71.69,0,0,0
1465,Mohammad Aslam (UAE),1996-1996,4,4,0,38,23,9.50,73,52.05,0,0,0
1466,N M'shangwe (Zim),2011-2014,6,6,1,38,16,7.60,45,84.44,0,0,1
1467,SS Naik (India),1974-1974,2,2,0,38,20,19.00,68,55.88,0,0,0
1468,Najeeb Amar (HK),2004-2008,4,4,1,38,21,12.66,64,59.37,0,0,1
1469,GH O'Brien (Ber),2006-2008,9,7,0,38,16,5.42,54,70.37,0,0,2
1470,S Walusimbi (EAf),1975-1975,3,3,0,38,16,12.66,126,30.15,0,0,0
1471,PN Webb (NZ),1983-1984,5,5,1,38,10*,9.50,101,37.62,0,0,0
1472,TS Chisoro (Zim),2015-2016,8,6,3,37,12,12.33,77,48.05,0,0,1
1473,MP Jarvis (Zim),1987-1995,12,5,3,37,17,18.50,67,55.22,0,0,0
1474,Saiful Islam (Ban),1990-1997,7,4,2,37,22*,18.50,59,62.71,0,0,0
1475,Shahid Anwar (Pak),1996-1996,1,1,0,37,37,37.00,44,84.09,0,0,0
1476,DJ White (NZ),1990-1990,3,3,0,37,15,12.33,97,38.14,0,0,0
1477,Ankur Vasishta (HK),2014-2014,4,4,1,36,18,12.00,69,52.17,0,0,0
1478,PVD Chameera (SL),2015-2016,9,5,3,36,13*,18.00,56,64.28,0,0,1
1479,C de Grandhomme (NZ),2012-2012,1,1,0,36,36,36.00,36,100.00,0,0,0
1480,PW Gunaratne (SL),2002-2003,23,8,3,36,15*,7.20,63,57.14,0,0,2
1481,MC Henriques (Aus),2009-2015,6,6,1,36,12,7.20,63,57.14,0,0,0
1482,MF Malone (Aus),1977-1982,10,7,3,36,15*,9.00,63,57.14,0,0,0
1483,G Mylvaganam (UAE),1996-1996,3,3,0,36,23,12.00,92,39.13,0,0,1
1484,AR Pitcher (Ber),2006-2007,4,4,0,36,30,9.00,89,40.44,0,0,0
1485,KR Pushpakumara (SL),1994-1999,31,9,5,36,14*,9.00,52,69.23,0,0,2
1486,Saleem Jaffar (Pak),1986-1990,39,13,11,36,10*,18.00,73,49.31,0,0,2
1487,RB Simpson (Aus),1978-1978,2,2,0,36,23,18.00,53,67.92,0,0,0
1488,LO Tikolo (Kenya),1996-1996,3,2,2,36,25*,-,75,48.00,0,0,0
1489,JO Troughton (Eng),2003-2003,6,5,1,36,20,9.00,76,47.36,0,0,1
1490,H Durham (Ber),2006-2006,9,7,3,35,11,8.75,105,33.33,0,0,0
1491,G Dymock (Aus),1974-1980,15,7,4,35,14*,11.66,82,42.68,0,0,1
